[GNSSFGOBridge] Using gnssfgo JSONL mode: /home/nvidia/Work/gnssfgo_ml_ws/osqa_input.jsonl -> /home/nvidia/Work/gnssfgo_ml_ws/osqa_output.jsonl
[GNSSFGODataReader] Started. Input: /home/nvidia/Work/gnssfgo_ml_ws/osqa_input.jsonl, Output: /home/nvidia/Work/gnssfgo_ml_ws/osqa_output.jsonl
[GNSSFGODataProvider] Polling /home/nvidia/Work/gnssfgo_ml_ws/osqa_input.jsonl for new epochs...
[OSQA] Started. Config: window=50, fusion=weighted, threshold=0.2
[OSQA Visualizer] updating epoch 1465021158.00, sats=31, mean_q=0.751
[OSQA Visualizer] updating epoch 1465021159.00, sats=31, mean_q=0.733
[OSQA Visualizer] updating epoch 1465021160.00, sats=29, mean_q=0.794
[OSQA Visualizer] updating epoch 1465021161.00, sats=30, mean_q=0.755
[OSQA Visualizer] updating epoch 1465021162.00, sats=30, mean_q=0.732
[OSQA Visualizer] updating epoch 1465021163.00, sats=30, mean_q=0.775
[OSQA Visualizer] updating epoch 1465021164.00, sats=31, mean_q=0.752
[OSQA Visualizer] updating epoch 1465021165.00, sats=31, mean_q=0.758
[OSQA Visualizer] updating epoch 1465021166.00, sats=30, mean_q=0.729
[OSQA Visualizer] updating epoch 1465021167.00, sats=30, mean_q=0.752
[OSQA Visualizer] updating epoch 1465021168.00, sats=31, mean_q=0.720
[OSQA Visualizer] updating epoch 1465021169.00, sats=29, mean_q=0.739
[OSQA Visualizer] updating epoch 1465021170.00, sats=29, mean_q=0.751
[OSQA Visualizer] updating epoch 1465021171.00, sats=29, mean_q=0.736
[OSQA Visualizer] updating epoch 1465021172.00, sats=28, mean_q=0.735
[OSQA Visualizer] updating epoch 1465021173.00, sats=29, mean_q=0.702
[OSQA Visualizer] updating epoch 1465021174.00, sats=28, mean_q=0.725
[OSQA Visualizer] updating epoch 1465021175.00, sats=28, mean_q=0.691
[OSQA Visualizer] updating epoch 1465021176.00, sats=28, mean_q=0.699
[OSQA Visualizer] updating epoch 1465021177.00, sats=28, mean_q=0.701
[OSQA Visualizer] updating epoch 1465021178.00, sats=28, mean_q=0.667
[OSQA Visualizer] updating epoch 1465021179.00, sats=28, mean_q=0.676
[OSQA Visualizer] updating epoch 1465021180.00, sats=28, mean_q=0.722
[OSQA Visualizer] updating epoch 1465021181.00, sats=28, mean_q=0.662
[OSQA Visualizer] updating epoch 1465021182.00, sats=28, mean_q=0.710
[OSQA Visualizer] updating epoch 1465021183.00, sats=28, mean_q=0.708
[OSQA Visualizer] updating epoch 1465021184.00, sats=28, mean_q=0.699
[OSQA Visualizer] updating epoch 1465021185.00, sats=28, mean_q=0.754
[OSQA Visualizer] updating epoch 1465021186.00, sats=28, mean_q=0.757
[OSQA Visualizer] updating epoch 1465021187.00, sats=27, mean_q=0.764
[OSQA Visualizer] updating epoch 1465021188.00, sats=26, mean_q=0.760
[OSQA Visualizer] updating epoch 1465021189.00, sats=25, mean_q=0.806
[OSQA Visualizer] updating epoch 1465021190.00, sats=26, mean_q=0.608
[OSQA Visualizer] updating epoch 1465021191.00, sats=25, mean_q=0.738
[OSQA Visualizer] updating epoch 1465021192.00, sats=25, mean_q=0.714
[OSQA Visualizer] updating epoch 1465021193.00, sats=25, mean_q=0.732
[OSQA Visualizer] updating epoch 1465021194.00, sats=25, mean_q=0.734
[OSQA Visualizer] updating epoch 1465021195.00, sats=25, mean_q=0.786
[OSQA Visualizer] updating epoch 1465021196.00, sats=26, mean_q=0.717
[OSQA Visualizer] updating epoch 1465021197.00, sats=26, mean_q=0.735
[OSQA Visualizer] updating epoch 1465021198.00, sats=27, mean_q=0.716
[OSQA Visualizer] updating epoch 1465021199.00, sats=27, mean_q=0.721
[OSQA Visualizer] updating epoch 1465021200.00, sats=28, mean_q=0.737
[OSQA Visualizer] updating epoch 1465021201.00, sats=28, mean_q=0.717
[OSQA Visualizer] updating epoch 1465021202.00, sats=28, mean_q=0.671
[OSQA Visualizer] updating epoch 1465021203.00, sats=27, mean_q=0.748
[OSQA Visualizer] updating epoch 1465021204.00, sats=27, mean_q=0.678
[OSQA Visualizer] updating epoch 1465021205.00, sats=27, mean_q=0.743
[OSQA Visualizer] updating epoch 1465021206.00, sats=27, mean_q=0.725
[OSQA Visualizer] updating epoch 1465021207.00, sats=27, mean_q=0.743
[OSQA Visualizer] updating epoch 1465021208.00, sats=27, mean_q=0.739
[OSQA Visualizer] updating epoch 1465021209.00, sats=26, mean_q=0.750
[OSQA Visualizer] updating epoch 1465021210.00, sats=27, mean_q=0.648
[OSQA Visualizer] updating epoch 1465021211.00, sats=26, mean_q=0.781
[OSQA Visualizer] updating epoch 1465021212.00, sats=26, mean_q=0.748
[OSQA Visualizer] updating epoch 1465021213.00, sats=26, mean_q=0.739
