timestamp,latitude,longitude,altitude,enu_x,enu_y,enu_z,cov_xx,cov_yy,cov_zz,trddcp_factor_count,opt_time
14650209830.039999,31.403211,121.263934,21.454692,-37.701814,-5.372421,4.413578,6.000000,6.000000,6.000000,0,10.268518
14650209840.039999,31.403206,121.263931,22.304282,-38.013170,-5.895685,5.263166,6.000000,6.000000,6.000000,0,18.755505
14650209850.039999,31.403205,121.263918,21.761073,-39.249023,-6.017119,4.719949,6.000000,6.000000,6.000000,0,11.356210
14650209860.039999,31.403201,121.263912,21.887399,-39.826370,-6.523807,4.846271,6.000000,6.000000,6.000000,0,22.348083
14650209870.039999,31.403200,121.263899,22.052611,-41.047874,-6.589167,5.011476,6.000000,6.000000,6.000000,0,14.764374
14650209880.039999,31.403198,121.263889,22.052776,-41.933202,-6.847096,5.011635,6.000000,6.000000,6.000000,0,8.318436
14650209890.039999,31.403196,121.263877,22.252327,-43.161036,-7.083033,5.211177,6.000000,6.000000,6.000000,0,9.091636
14650209900.039999,31.403194,121.263871,21.535923,-43.730403,-7.289966,4.494769,6.000000,6.000000,6.000000,0,12.803564
14650209910.039999,31.403193,121.263857,20.735214,-45.020371,-7.438497,3.694051,6.000000,6.000000,6.000000,0,16.355972
14650209920.039999,31.403189,121.263848,20.948826,-45.878134,-7.847407,3.907656,6.000000,6.000000,6.000000,0,21.857193
14650209930.039999,31.403189,121.263832,20.440639,-47.380273,-7.778793,3.399459,6.000000,6.000000,6.000000,0,6.712718
14650209940.039999,31.403187,121.263823,20.584032,-48.256702,-8.039458,3.542844,6.000000,6.000000,6.000000,0,7.044748
14650209950.039999,31.403185,121.263814,21.009723,-49.145563,-8.298701,3.968528,6.000000,6.000000,6.000000,0,10.262374
14650209960.039999,31.403184,121.263803,20.893556,-50.141969,-8.382884,3.852353,6.000000,6.000000,6.000000,0,20.639650
14650209970.039999,31.403182,121.263789,20.766256,-51.501036,-8.585133,3.725042,6.000000,6.000000,6.000000,0,9.177500
14650209980.039999,31.403179,121.263783,20.374736,-52.082836,-8.942564,3.333517,6.000000,6.000000,6.000000,0,20.054253
14650209990.039999,31.403181,121.263771,20.224876,-53.159060,-8.768930,3.183649,6.000000,6.000000,6.000000,0,11.053744
14650210000.039999,31.403178,121.263763,20.803499,-53.987950,-9.027878,3.762265,6.000000,6.000000,6.000000,0,10.240322
14650210010.039999,31.403179,121.263751,20.635271,-55.088958,-8.943965,3.594027,6.000000,6.000000,6.000000,0,17.605201
14650210020.039999,31.403176,121.263748,20.574299,-55.354560,-9.300179,3.533052,6.000000,6.000000,6.000000,0,12.758311
14650210030.039999,31.403175,121.263738,20.136389,-56.381123,-9.326249,3.095133,6.000000,6.000000,6.000000,0,19.787647
14650210040.039999,31.403173,121.263726,21.170233,-57.483795,-9.644446,4.128967,6.000000,6.000000,6.000000,0,17.200037
14650210050.039999,31.403170,121.263715,21.304111,-58.540638,-9.982708,4.262835,6.000000,6.000000,6.000000,0,16.445607
14650210060.039999,31.403168,121.263702,20.864159,-59.742129,-10.147891,3.822872,6.000000,6.000000,6.000000,0,16.171092
14650210070.039999,31.403167,121.263693,20.370601,-60.643370,-10.248935,3.329305,6.000000,6.000000,6.000000,0,18.756085
14650210080.039999,31.403161,121.263684,20.397769,-61.438511,-10.879554,3.356464,6.000000,6.000000,6.000000,0,18.777165
14650210090.039999,31.403161,121.263675,20.022075,-62.290039,-10.987549,2.980762,6.000000,6.000000,6.000000,0,16.483903
14650210100.039999,31.403162,121.263662,19.706214,-63.602462,-10.828041,2.664888,6.000000,6.000000,6.000000,0,22.200301
14650210110.039999,31.403156,121.263652,20.023661,-64.557233,-11.438233,2.982325,6.000000,6.000000,6.000000,0,10.135974
14650210120.039999,31.403155,121.263642,20.228556,-65.431735,-11.581483,3.187210,6.000000,6.000000,6.000000,0,10.157590
14650210130.039999,31.403153,121.263631,20.081219,-66.525591,-11.852120,3.039862,6.000000,6.000000,6.000000,0,19.022453
14650210140.039999,31.403151,121.263619,19.579209,-67.611699,-12.055831,2.537840,6.000000,6.000000,6.000000,0,23.261709
14650210150.039999,31.403148,121.263608,19.085205,-68.709947,-12.339691,2.043823,6.000000,6.000000,6.000000,0,18.369660
14650210160.039999,31.403145,121.263600,19.505886,-69.490598,-12.699567,2.464495,6.000000,6.000000,6.000000,0,22.012048
14650210170.039999,31.403143,121.263587,19.452815,-70.736473,-12.932430,2.411410,6.000000,6.000000,6.000000,0,19.047148
14650210180.039999,31.403143,121.263574,19.395643,-71.960496,-12.892324,2.354224,6.000000,6.000000,6.000000,0,13.814745
14650210190.039999,31.403139,121.263563,20.939529,-72.991819,-13.360033,3.898098,6.000000,6.000000,6.000000,0,10.374604
14650210200.039999,31.403141,121.263549,20.153399,-74.291084,-13.171067,3.111953,6.000000,6.000000,6.000000,0,14.648949
